Part,Quantity,Cost,Link
Raspberry Pi Zero W,1,$36.99,https://www.amazon.com/EC-Buying-Pi-Zero-Development/dp/B0FN4CN7TM/ref=sr_1_3?dib=eyJ2IjoiMSJ9.cRpkm-W1IiMoLNmN1NHSSBDUU-6a76c8zyDz14du37AVNm_rrGo23bJW0gEaGpfh8j9T20CfywoZGWY_SF4R1z0__VlvJgdO-2C6AI4BPp0Qai9JGTZOxx7_93XdkbAKSBipkhKix3mc1Db4znyoY9WRA3nrjF7YcpWQC-ajYpVo4AWSdHbqgNNu62ySyMTsksS1BVuilLSQoWUfBr91sYADN-8Lr6ktSRBgkPzyHvU.iydc9ZshTYYUKLnrWjvkUu71mG_PBwVGxvD11suvYvU&dib_tag=se&keywords=raspberry+pi+0+w&qid=1788145687&sr=8-3
ch32x035 Devboard,1,Already Owned,
3.5 Inch 480x320 Display,1,$17.99,https://www.amazon.com/Hosyond-480x320-Screen-Display-Raspberry/dp/B0BJDTL9J3/ref=sr_1_5?crid=32LSUZX9QK74G&dib=eyJ2IjoiMSJ9.RqdS0DE2h9uFsE5trtT2Nbdg1UbTFtZC32OJMLijNS4sKOniczm18uRxSPhRuSmb1p1r_g98wnSKR6o2nDWviBvP67LO7iFqLZP8lVT1BkcEc4phavujqRhE7SvSld7cOHw14VJoEfdEZkEfpoB1WRBeRI2rX9GLcmtdrT6StYXdGY0XyUySJgtLqH7OuQIUKh3Pu_-jGaj6jcqhXETkyOTTDOM6juhsarDpsJGFElk.r3I0NLjF5mM0QSnRI38hi1a_91SVnaMGeZQDmS6LWd8&dib_tag=se&keywords=3.5%22+480x320+SPI+ILI9488+Raspberry+Pi+0&qid=1788056686&sprefix=3.5+480x320+spi+ili9488+raspberry+pi+0%2Caps%2C186&sr=8-5
6x4cm Perfboard,1,$7.99,https://www.amazon.com/Chanzon-Double-Sided-Board-Sizes/dp/B07LF78ZY3/ref=sr_1_9?crid=3THFI3NPDTT2Q&dib=eyJ2IjoiMSJ9.8JHDkOGRf-cXWFNS5HlBK3oMQrpf8jBOuTgClc_YF6pohRInDZUXKPxB6U5WQh7Var3v8tQ2RQRqSF_a1bpWtDKa3fkXoPlUbBwbtIYnSNeaNR4cSnxp4NIdIz_DYUFgfmdzHM-8TQ4vpz26t_3Gwen5ZAr3XUBG_TpxVC0segoQqn_rAHDlZJCv2INSlA5M6iUiu-rn-zhGZUHB-UaurqM5uLyvD_Pm-6Xkn2R0SOM.9nVgj7TNtfUqkx8Sknt6DcpBaC7NbUuLzIa0Ab00m-8&dib_tag=se&keywords=6x4cm%2Bperfboard&qid=1788145896&sprefix=6x4cm%2Bperfboard%2Caps%2C228&sr=8-9&th=16x6 Push Buttons,12,$4.99,https://www.amazon.com/DAOKI-6x6x4-3mm-664-3mm-Momentary-Tactile/dp/B07X8S99RH/ref=sr_1_3?crid=1DL2SK7J51NDZ&dib=eyJ2IjoiMSJ9.qWY0dJCIiSZLBV1hN7pmOlHxHwAl8ZcmGlc73TY_em2THfpYY34iWHJAqDqA_7kRJKv2FLKGCvEpK0VobP_NofAcxjby5jSISUL0jYGMRBgz5_jLHwFskFeE0DimRM7fvkhG1A6kvzh9MuM5Pufkiy0n1fh07A2u5Jl9Eo6nfS6w1DC2UY6-MiDmxlF9h-actFWTg9v7Vbe3QNnsamT9NJFaZWuJoefQho2Kmri6ZcA.SKG1c-K8jMYOp2kE6WqfWRXG2VxpCojaZcfUHX17aTY&dib_tag=se&keywords=6x6%2Bbuttons&qid=1788057513&sprefix=6x6%2Bbutton%2Caps%2C230&sr=8-3&th=1
USBC to Micro USB Cable,1,$5.69,https://www.amazon.com/FEMORO-Adapter-Braided-Transfer-Compatible/dp/B0CMLS2MB1/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Q0zCT2VVrWngj8cLy08B6cPfdbvCLZtrPdCcfquVQxOPs_scRc0QVtZgXP7J5DJVSnPaX2Gws10510qbusyfr4z0lnjHhxtvN2ngp5oEB4eJ_YJaDPJwkXB2EXuWz_2on49imoGykU7hOvcQUrHpg2CxuXqnNLzhwwZrZxCem5Y6-LBa6vXEGT7EcOzcTqi1iqM0U7fh4Q0IL4ChFc9WT0AfAyYScW8KJHDUOqXu3GI.CQ7szaYNhwswRxhx-YjSuKMolw-el0QrV8uKpf-cQ2A&dib_tag=se&hvadid=816679433751&hvdev=c&hvexpln=67&hvlocphy=9190642&hvnetw=g&hvocijid=11780862591055122355--&hvqmt=e&hvrand=11780862591055122355&hvtargid=kwd-620844476355&hydadcr=4237_13657842&keywords=usb%2Bc%2Bto%2Bmicro%2Busb%2Bdata&mcid=a1cb2748af3e30e48a33df836306871d&qid=1788048347&sr=8-15&th=1
Latching Button,1,$9.98,https://www.amazon.com/DMWD-12-Pack-Latching-Pre-soldered-Self-Locking/dp/B0D4D8DQJD/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.3553e585-d0c8-423a-845e-cf785d8e065d%3Aamzn1.sym.3553e585-d0c8-423a-845e-cf785d8e065d&crid=354M9AH4KSXQA&cv_ct_cx=latching%2Bbutton%2B2a&keywords=latching%2Bbutton%2B2a&pd_rd_i=B0D4D8DQJD&pd_rd_r=5d1b62a5-fa9d-4a4c-96e7-0a6322509cf5&pd_rd_w=Gks7w&pd_rd_wg=HjyVN&pf_rd_p=3553e585-d0c8-423a-845e-cf785d8e065d&pf_rd_r=RX7FNRJ6GT2XGBFFFEY0&qid=1788130457&s=industrial&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=latching%2Bbutton%2B2%2Cindustrial%2C197&sr=1-1-e169343e-09af-4d41-85b1-8335fe8f32d0-spons&aref=ueSEZ0HIgM&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1
Battery Protection Module,1,$5.99,https://www.amazon.com/DIANN-Charger-Protection-Lithium-Battery/dp/B0B4D1D74V/ref=sr_1_2?crid=7FY9ZLRHY03S&dib=eyJ2IjoiMSJ9.fGfkYoVHuV5O4GGnz02owzcM5pt5liUMcYo2WUn-s6Jz3LSMYBKZvOosJcEki_BQ-O4izoUQN5hf4mOyToPHzfpE1j9Kgej6VL8EawxnafPg0ccPNGNZTPFcIdfI02xAWZt4gtMuBcnL9TtiNn-oT3fo2EkfPGp16zXFuulyPjg7JTyzb3kvrLdmbzxQ5PhsFgB03x3Zj9Q91PW7_fK0xqEnjpvun9ZBITk6YQ4fWqc.KayG6Ansvxrg-C2PKFv7yzWwefvIuxmEPW6bUG7EWB4&dib_tag=se&keywords=1S+protection+board&qid=1788129602&sprefix=1s+protection+boar%2Caps%2C265&sr=8-2
Battery Charging Module,1,$9.89,https://www.amazon.com/Battery-Charger-Discharge-Integrated-Lithium/dp/B098989NRZ/ref=sr_1_8?crid=YBGG2WZN7C5X&dib=eyJ2IjoiMSJ9.P8BLFAwNgWKbfr6RhDeMwpfuokq2dMQ6yQysALL43a02oMyBotezGY2bdkUs5shAGT8NgmjQE5pMxCnMIHnuWve7jRrlEkeZBmy-Pz5D-bU2LoVSkTJVnREz5vtYmkxju-9AIKK7BxmmvMpm6XYSmibsgxI1DQKCDRhSUMACLnbuM-3iKOyrlsWcOmi3FIdnUtoyzYx75cgM7VMXUiPvUezXZTE_tgEB9-o9egC7I7M.FMvbak8AM4ZLEKXzEHKpOBaEmqqh3liSyROcuutSwi0&dib_tag=se&keywords=lipo+battery+boost+5v&qid=1788128761&sprefix=lipo+bat%2Caps%2C1706&sr=8-8 
3.7v Lipo,1,$9.99,https://www.amazon.com/JLJLUP-Rechargeable-Integrated-Protection-Development/dp/B0FH9XHXRT/ref=sr_1_1_sspa?crid=U38X09O65I24&dib=eyJ2IjoiMSJ9.ZbBMxazTeB7zMpsIOpSCqqH1qTr6Owx53wuj7undMtLgi4kAXMkQUuBIGsp6QMyTwWlOWzDHT6sXpIqASw3FqflkadbmE0h3TljclI9VzAeEges_9PbRupKONIEan0_sqL06fbOjr1atlM4B0nOAYdWFsLZMbPNEAHHrPCd8yNbDgWldkMxEWVANKsH7laSkpl9KwcngVPucPNKDN2WXlrHKYccMcyahgi8rhMtdgmOz_Vh4TCNDxT1nDmyjpr-ezygTx_CKFZS1FgOW54qpVJQxpHltrUdurxY0JkW4gPw.CjjEBEcJm-IGeDbgaGm6qRBMTXh4k1PeE9TfFJaDGmQ&dib_tag=se&keywords=lipo%2B3000mah%2B3.7v&qid=1788130802&sprefix=lipo%2B300mah%2B3.7v%2Caps%2C238&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
32GB Micro SD Card,1,$22.80,https://www.amazon.com/SanDisk-Ultra%C2%AE-microSDHC-120MB-Class/dp/B08L5HMJVW/ref=sr_1_3?crid=3HS9EEKVZ47SE&dib=eyJ2IjoiMSJ9.hsr1OUORqrPs9SB5beMC_bIzKCfqdptsTJapr93XINlJ-5YuvJdd8Q47L8pUD4ct5P2cJNkvhG5e0lJxhduK0JRjSlp7h36VIUwM5fsoH9LENVwDcEY9kXTeEUPqqKooocBbWGGkxu_Cka3gA_NnP8t3BLibfSf5qOAHiyAtfw_md4MBTOXcq3y2dY3yK07_Hdpsf3mtPRssKCjxQenwbBm9gHTnAm1tpDZCfSS1pyg.Km0aVvAB66DmH2Cs1m31v5P0ItBsrXHgoxUNY0sgj60&dib_tag=se&keywords=32gb%2Bmicro%2Bsd%2Bcard%2BA1&qid=1788138066&sprefix=32gb%2Bmicro%2Bsd%2Bcard%2Ba1%2Caps%2C225&sr=8-3&th=1
